2023-01-14 19:52:34.773889,82181,82182
2023-01-14 19:52:35.774864,125196,124300
2023-01-14 19:52:36.774867,125790,124552
2023-01-14 19:52:37.774875,125702,124512
2023-01-14 19:52:38.774868,125727,124519
2023-01-14 19:52:39.774866,125863,124562
2023-01-14 19:52:40.774865,126027,124633
2023-01-14 19:52:41.774843,126193,124685
2023-01-14 19:52:42.774845,126327,124731
2023-01-14 19:52:43.774848,126347,124734
2023-01-14 19:52:45.774866,126445,124739
2023-01-14 19:52:46.774856,126458,124734
2023-01-14 19:52:47.774856,125703,124392
2023-01-14 19:52:48.774867,124868,124048
2023-01-14 19:52:49.774858,124694,123988
2023-01-14 19:52:50.774859,124731,124005
2023-01-14 19:52:51.77486,124752,124018
2023-01-14 19:52:52.774861,124811,124026
2023-01-14 19:52:53.774866,124796,124008
2023-01-14 19:52:55.774835,124590,123894
2023-01-14 19:52:56.774858,124572,123871
2023-01-14 19:52:57.774861,124580,123862
2023-01-14 19:52:58.774868,124560,123825
2023-01-14 19:52:59.774869,124509,123800
2023-01-14 19:53:00.774865,124482,123764
2023-01-14 19:53:01.774872,124462,123741
2023-01-14 19:53:02.774864,124487,123738
2023-01-14 19:53:03.77487,124504,123731
2023-01-14 19:53:05.774865,123609,123331
2023-01-14 19:53:06.774842,123037,123102
2023-01-14 19:53:07.774836,122876,123039
2023-01-14 19:53:08.774833,122732,122748
2023-01-14 19:53:09.774854,124417,123360
2023-01-14 19:53:10.774858,125644,123803
2023-01-14 19:53:11.774858,126639,124046
2023-01-14 19:53:12.774859,125160,123394
2023-01-14 19:53:13.774861,124905,123215
2023-01-14 19:53:15.774863,124209,122670
2023-01-14 19:53:16.774865,124663,122770
2023-01-14 19:53:17.774866,125321,123006
2023-01-14 19:53:18.774865,126345,123336
2023-01-14 19:53:19.774837,126349,123290
2023-01-14 19:53:20.774846,124966,122641
2023-01-14 19:53:21.774838,124670,122434
2023-01-14 19:53:22.774871,124321,122229
2023-01-14 19:53:23.774881,125249,122553
2023-01-14 19:53:25.774875,126480,122858
2023-01-14 19:53:26.774871,126018,122552
2023-01-14 19:53:27.77487,126810,122783
2023-01-14 19:53:28.774871,125939,122345
2023-01-14 19:53:29.774874,126583,122528
2023-01-14 19:53:30.774874,127232,122700
2023-01-14 19:53:31.774874,126314,122307
2023-01-14 19:53:32.774843,126921,122464
2023-01-14 19:53:33.774885,125932,122014
